"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2024","68.80","67.41","69.68","67.13","10.16K","2.14%"
"06/28/2024","67.36","66.71","68.40","65.79","22.06K","1.31%"
"06/27/2024","66.49","67.03","67.78","66.42","19.50K","-1.10%"
"06/26/2024","67.23","68.35","69.09","66.80","22.83K","-0.84%"
"06/25/2024","67.80","67.45","68.07","66.85","20.56K","0.36%"
"06/24/2024","67.56","68.02","68.27","67.01","25.78K","-0.72%"
"06/21/2024","68.05","69.51","69.51","67.94","18.86K","-1.65%"
"06/20/2024","69.19","70.60","71.59","69.07","21.09K","-2.19%"
"06/19/2024","70.74","68.74","70.81","68.50","20.84K","3.45%"
"06/18/2024","68.38","68.26","69.25","67.72","25.05K","0.32%"
"06/17/2024","68.16","68.70","69.21","67.63","22.76K","-0.54%"
"06/14/2024","68.53","70.75","71.09","68.18","32.67K","-3.30%"
"06/13/2024","70.87","70.30","71.99","70.30","18.92K","0.81%"
"06/12/2024","70.30","70.45","71.75","69.97","20.42K","-0.16%"
"06/11/2024","70.41","70.80","72.17","69.87","22.85K","-0.71%"
"06/10/2024","70.91","71.14","71.20","69.29","27.32K","-0.71%"
"06/07/2024","71.42","71.78","71.88","71.02","14.70K","-0.15%"
"06/06/2024","71.53","71.82","72.98","71.25","19.25K","-0.65%"
"06/05/2024","72.00","72.72","73.26","70.96","25.06K","-0.80%"
"06/04/2024","72.58","74.52","74.71","72.27","29.74K","-2.75%"
"06/03/2024","74.63","74.44","77.80","74.25","29.51K","0.76%"
"05/31/2024","74.07","75.48","76.42","73.85","19.01K","-1.50%"
"05/30/2024","75.20","73.66","75.84","73.37","19.23K","1.69%"
"05/29/2024","73.95","74.50","75.60","72.95","21.29K","-0.87%"
"05/28/2024","74.60","75.99","76.24","74.15","20.35K","-2.50%"
"05/27/2024","76.51","75.70","76.99","75.58","11.68K","0.96%"
"05/24/2024","75.78","76.10","76.70","73.90","20.91K","-0.42%"
"05/23/2024","76.10","76.50","78.10","75.52","28.44K","-0.74%"
"05/22/2024","76.67","75.83","77.50","75.50","26.14K","0.62%"
"05/21/2024","76.20","74.18","76.64","73.05","27.58K","2.64%"
"05/20/2024","74.24","71.00","74.90","71.00","28.80K","5.28%"
"05/17/2024","70.52","70.50","71.52","69.60","19.40K","-0.38%"
"05/16/2024","70.79","69.09","71.27","68.88","19.43K","2.31%"
"05/15/2024","69.19","70.20","71.83","69.09","22.11K","-1.30%"
"05/14/2024","70.10","70.02","71.32","69.02","15.41K","0.04%"
"05/13/2024","70.07","71.33","71.49","68.75","24.98K","-2.12%"
"05/10/2024","71.59","73.50","75.50","71.28","22.20K","-2.76%"
"05/09/2024","73.62","71.40","74.08","71.13","14.64K","2.36%"
"05/08/2024","71.92","71.03","72.70","69.61","21.90K","1.51%"
"05/07/2024","70.85","73.25","74.30","70.57","31.16K","-3.83%"
"05/06/2024","73.67","71.74","74.49","71.52","18.25K","2.55%"
"05/03/2024","71.84","72.69","74.55","71.45","25.96K","-1.17%"
"05/02/2024","72.69","67.88","73.18","67.25","38.25K","7.04%"
"05/01/2024","67.91","69.19","69.26","67.35","12.26K","-1.86%"
"04/30/2024","69.20","65.95","69.60","65.38","26.24K","5.17%"
"04/29/2024","65.80","67.00","67.35","65.01","18.42K","-2.53%"
"04/26/2024","67.51","68.21","69.20","66.57","18.84K","-1.32%"
"04/25/2024","68.41","67.00","69.92","66.54","27.09K","2.33%"
"04/24/2024","66.85","66.25","67.45","64.80","22.73K","0.71%"
"04/23/2024","66.38","66.39","67.21","65.34","22.88K","-0.03%"
"04/22/2024","66.40","68.00","68.19","66.02","25.67K","-3.09%"
"04/19/2024","68.52","72.57","73.30","68.13","28.40K","-4.23%"
"04/18/2024","71.55","69.90","72.22","68.15","31.33K","1.73%"
"04/17/2024","70.33","74.13","74.48","69.24","37.88K","-5.28%"
"04/16/2024","74.25","70.26","74.90","69.87","36.63K","5.83%"
"04/15/2024","70.16","71.55","71.64","69.12","29.52K","-2.07%"
"04/12/2024","71.64","68.60","71.81","68.07","46.29K","4.08%"
"04/11/2024","68.83","62.98","68.92","62.81","47.86K","9.51%"
"04/10/2024","62.85","63.82","65.07","62.30","25.55K","-1.74%"
"04/09/2024","63.96","63.39","64.64","62.53","27.84K","0.90%"
"04/08/2024","63.39","60.72","63.77","59.69","32.01K","3.90%"
"04/05/2024","61.01","58.87","61.15","58.26","25.37K","4.49%"
"04/04/2024","58.39","57.50","59.24","57.10","22.26K","1.46%"
"04/03/2024","57.55","59.29","59.43","56.91","23.14K","-2.29%"
"04/02/2024","58.90","61.22","61.50","58.56","27.64K","-4.89%"
"03/28/2024","61.93","62.50","62.89","61.32","","-1.09%"
"03/27/2024","62.61","62.50","63.31","61.08","22.31K","-0.62%"
"03/26/2024","63.00","64.45","65.74","62.16","33.89K","-2.84%"
